,ARI,AMI,HOM,SIL,CH,DBI
DPLC_151707,0.431445659603774,0.6462845536913899,0.6734853447516088,-0.015231055,5.801790271455064,22.363570864460804
MSC,0.1529336833914287,0.2794453793009628,0.4008542235510611,0.0238987449556589,105.05334170472187,4.544977998714982
DPLC_151709,0.5154515479069691,0.6783845124131553,0.6611816006863259,-0.0149162309244275,8.22420863854806,21.86939103778986
DPLC_151708,0.499568092809149,0.6468756960056996,0.6498194847348444,-0.0175496488809585,5.695754842884243,24.149200318534525
HBCA1,0.5053551107268803,0.640774223685328,0.6369559433184608,-0.0670643001794815,8.19731808441662,11.138316859386416
